"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
1650,1650,1610,1570,1173,1092,0.02484,"Southeast","Basin City","WA","Washington","53021","Franklin County",517,"washington/basin-city",3.189,-119.157,46.589,"CDP",348
1644,1644,1592,1540,1013,915,0.03266,"East","Lakeview","WA","Washington","53025","Grant County",1460,"washington/lakeview",1.126,-119.504,47.3755,"CDP",349
1603,1603,1620,1632,1671,1583,-0.01049,"Southwest","Yacolt","WA","Washington","53011","Clark County",2788,"washington/yacolt",0.575,-122.406,45.8652,"Town",350
1559,1559,1539,1523,1479,1352,0.013,"Northwest","Nooksack","WA","Washington","53073","Whatcom County",1794,"washington/nooksack",0.869,-122.318,48.9281,"City",351
1558,1558,1714,1870,1592,3739,-0.09102,"Southeast","West Pasco","WA","Washington","53021","Franklin County",1066,"washington/west-pasco",1.462,-119.183,46.2543,"CDP",352
1543,1543,1544,1546,1418,1564,-0.00065,"West","Rocky Point","WA","Washington","53035|53045","Kitsap County",2167,"washington/rocky-point",0.712,-122.666,47.5941,"CDP",353
1511,1511,1527,1544,1970,1743,-0.01048,"West","North Puyallup","WA","Washington","53053","Pierce County",1439,"washington/north-puyallup",1.05,-122.278,47.1989,"CDP",354
1481,1481,1441,1402,1278,930,0.02776,"Northwest","Lake Ketchum","WA","Washington","53057|53061","Skagit County",476,"washington/lake-ketchum",3.109,-122.346,48.2858,"CDP",355
1479,1479,1526,1573,1919,2137,-0.0308,"West","Fife Heights","WA","Washington","53033|53053","King County",1506,"washington/fife-heights",0.982,-122.346,47.2607,"CDP",356
1465,1465,1466,1465,1469,1349,-0.00068,"Northwest","Darrington","WA","Washington","53057|53061","Skagit County",770,"washington/darrington",1.903,-121.608,48.2588,"Town",357
1463,1463,1445,1426,1357,1202,0.01246,"Southwest","Dallesport","WA","Washington","53039","Klickitat County",217,"washington/dallesport",6.733,-121.169,45.6316,"CDP",358
1441,1441,1377,1313,1052,544,0.04648,"West","Vaughn","WA","Washington","53035|53053","Kitsap County",614,"washington/vaughn",2.345,-122.782,47.358,"CDP",359
1439,1439,1428,1425,1395,1426,0.0077,"Southeast","Pomeroy","WA","Washington","53013|53023|53075","Columbia County",810,"washington/pomeroy",1.776,-117.597,46.4738,"City",360
1437,1437,1439,1449,1444,1365,-0.00139,"Central","Kittitas","WA","Washington","53037","Kittitas County",1840,"washington/kittitas",0.781,-120.419,46.9837,"City",361
1430,1430,1422,1415,1397,963,0.00563,"Southwest","North Bonneville","WA","Washington","53059","Skamania County",566,"washington/north-bonneville",2.525,-121.973,45.6414,"City",362
1423,1423,1400,1413,1331,1116,0.01643,"Central","Entiat","WA","Washington","53007","Chelan County",653,"washington/entiat",2.179,-120.222,47.677,"City",363
1416,1416,1406,1396,1346,1277,0.00711,"West","Lake Marcel-Stillwater","WA","Washington","53033","King County",1109,"washington/lake-marcel-stillwater",1.277,-121.915,47.6951,"CDP",364
1402,1402,1412,1422,1531,1544,-0.00708,"West","Purdy","WA","Washington","53053","Pierce County",582,"washington/purdy",2.407,-122.605,47.3965,"CDP",365
1371,1371,1378,1385,1433,1468,-0.00508,"Central","Manson","WA","Washington","53007","Chelan County",1094,"washington/manson",1.253,-120.162,47.8743,"CDP",366
1301,1301,1304,1305,1312,1309,-0.0023,"West","Woodway","WA","Washington","53061","Snohomish County",1114,"washington/woodway",1.168,-122.388,47.7879,"City",367
1280,1280,1188,1097,961,0,0.07744,"West","Browns Point","WA","Washington","53033|53053","King County",3153,"washington/browns-point",0.406,-122.437,47.3038,"CDP",368
1274,1274,1267,1260,1117,1178,0.00552,"Northwest","Machias","WA","Washington","53061","Snohomish County",515,"washington/machias",2.476,-122.052,47.9918,"CDP",369
1254,1254,1210,1166,947,640,0.03636,"Northwest","Sunday Lake","WA","Washington","53061|53057","Snohomish County",377,"washington/sunday-lake",3.327,-122.27,48.2283,"CDP",370
1238,1238,1244,1249,1100,1314,-0.00482,"Northwest","Point Roberts","WA","Washington","53073","Whatcom County",253,"washington/point-roberts",4.885,-123.059,48.9847,"CDP",371
1226,1226,1223,1228,1213,1099,0.00245,"Northeast","Coulee Dam","WA","Washington","53017|53025|53047","Douglas County",1712,"washington/coulee-dam",0.716,-118.976,47.9685,"Town",372
1219,1219,1243,1267,1351,1553,-0.01931,"Central","South Wenatchee","WA","Washington","53007","Chelan County",1051,"washington/south-wenatchee",1.16,-120.289,47.3944,"CDP",373
1210,1210,1214,1218,1322,1268,-0.00329,"West","Crocker","WA","Washington","53053","Pierce County",169,"washington/crocker",7.143,-122.127,47.0908,"CDP",374
1204,1204,1185,1165,1123,928,0.01603,"Northwest","Clinton","WA","Washington","53029","Island County",1190,"washington/clinton",1.012,-122.352,47.9624,"CDP",375
1197,1197,1198,1203,1201,1252,-0.00083,"Southeast","Asotin","WA","Washington","53003|53023","Asotin County",1116,"washington/asotin",1.073,-117.04,46.3337,"City",376
1175,1175,1174,1167,1170,1217,0.00085,"Southeast","Waitsburg","WA","Washington","53013|53071","Columbia County",1010,"washington/waitsburg",1.163,-118.151,46.2698,"City",377
1157,1157,1142,1128,703,954,0.01313,"West","Grapeview","WA","Washington","53045","Mason County",315,"washington/grapeview",3.669,-122.829,47.3298,"CDP",378
1146,1146,1119,1092,1181,768,0.02413,"Northwest","Swede Heaven","WA","Washington","53061|53057","Snohomish County",160,"washington/swede-heaven",7.182,-121.71,48.2807,"CDP",379
1144,1144,1146,1152,1150,1018,-0.00175,"Northwest","Langley","WA","Washington","53029","Island County",1135,"washington/langley",1.008,-122.407,48.0375,"City",380
1142,1142,1097,1051,930,503,0.04102,"Northwest","Lake Roesiger","WA","Washington","53061","Snohomish County",294,"washington/lake-roesiger",3.883,-121.905,47.9755,"CDP",381
1141,1141,1131,1121,1101,1002,0.00884,"Northwest","Clear Lake","WA","Washington","53057|53073","Skagit County",422,"washington/clear-lake",2.703,-122.239,48.4483,"CDP",382
1135,1135,1165,1194,1236,1547,-0.02575,"West","McMillin","WA","Washington","53053","Pierce County",682,"washington/mcmillin",1.665,-122.235,47.126,"CDP",383
1127,1127,1128,1126,1129,1139,-0.00089,"Central","Waterville","WA","Washington","53017","Douglas County",1303,"washington/waterville",0.865,-120.071,47.648,"Town",384
1124,1124,1092,1059,1071,667,0.0293,"Northwest","Lake Bosworth","WA","Washington","53061","Snohomish County",284,"washington/lake-bosworth",3.953,-121.982,48.0555,"CDP",385
1124,1124,1043,963,742,0,0.07766,"West","Riverpoint","WA","Washington","53033","King County",886,"washington/riverpoint",1.268,-121.712,47.4797,"CDP",386
1123,1123,1116,1116,1093,933,0.00627,"Southwest","Ilwaco","WA","Washington","53049","Pacific County",548,"washington/ilwaco",2.05,-124.027,46.3127,"City",387
1117,1117,1099,1081,1102,865,0.01638,"Northwest","Neah Bay","WA","Washington","53009","Clallam County",476,"washington/neah-bay",2.345,-124.612,48.361,"CDP",388
1114,1114,1110,1113,1097,1147,0.0036,"Northeast","Tonasket","WA","Washington","53047","Okanogan County",1180,"washington/tonasket",0.944,-119.442,48.7076,"City",389
1113,1113,1135,1157,1065,1419,-0.01938,"West","Clear Lake","WA","Washington","53053","Pierce County",131,"washington/clear-lake-pierce-county",8.486,-122.305,46.9284,"CDP",390
1104,1104,1088,1079,1038,1126,0.01471,"Southwest","Morton","WA","Washington","53041","Lewis County",1345,"washington/morton",0.821,-122.281,46.5574,"City",391
1095,1095,1076,1057,1227,831,0.01766,"Southwest","Puget Island","WA","Washington","53069","Wahkiakum County",145,"washington/puget-island",7.572,-123.382,46.1757,"CDP",392
1095,1095,1105,1115,1133,1006,-0.00905,"West","Yarrow Point","WA","Washington","53033","King County",2992,"washington/yarrow-point",0.366,-122.22,47.6446,"Town",393
1087,1087,1023,959,884,191,0.06256,"Northwest","Kendall","WA","Washington","53073","Whatcom County",396,"washington/kendall",2.748,-122.133,48.9155,"CDP",394
1087,1087,1065,1058,997,904,0.02066,"North","Twisp","WA","Washington","53047","Okanogan County",930,"washington/twisp",1.169,-120.117,48.361,"Town",395
1080,1080,1080,1087,1080,828,0,"South","Naches","WA","Washington","53077","Yakima County",1240,"washington/naches",0.871,-120.691,46.726,"Town",396
